day,daily_usdc_volume,daily_usdc_tx_count
2024-04-20 0:00,3922004824,67662
2024-04-21 0:00,4240734361,66261
2024-04-22 0:00,1012908381851,78895
2024-04-23 0:00,8695311263,75834
2024-04-24 0:00,12594385906,78787
2024-04-25 0:00,4.72238E+15,77879
2024-04-26 0:00,374994867288597,78813
2024-04-27 0:00,1.29146E+15,69606
2024-04-28 0:00,24219312377704,60657
2024-04-29 0:00,8408096118,76854
2024-04-30 0:00,46190820708284984,92009
2024-05-01 0:00,6.11071E+15,98100
2024-05-02 0:00,30386439394658492,85346
2024-05-03 0:00,331863383787838,87586
2024-05-04 0:00,4726749061,68491
2024-05-05 0:00,2575678744,63870
2024-05-06 0:00,30282152804024988,100216
2024-05-07 0:00,9.00E+27,96999
2024-05-08 0:00,8259545157,84952
2024-05-09 0:00,1.42E+23,95599
2024-05-10 0:00,7120936017,87585
2024-05-11 0:00,2781470278,60623
2024-05-12 0:00,335954582037,64584
2024-05-13 0:00,7216916554,91457
2024-05-14 0:00,8286521010,85199
2024-05-15 0:00,9274117369,94457
2024-05-16 0:00,7831016793,110482
2024-05-17 0:00,4.51E+51,103565
2024-05-18 0:00,2496228797586814500,89041
2024-05-19 0:00,2813275975893041700,98313
2024-05-20 0:00,16528698297,137883
2024-05-21 0:00,21365411570,127851
2024-05-22 0:00,10706128672,96955
2024-05-23 0:00,12671032503,99022
2024-05-24 0:00,34609936959,88982
2024-05-25 0:00,2844469823,76144
2024-05-26 0:00,1932685062056,73181
2024-05-27 0:00,1.63715E+15,76202
2024-05-28 0:00,1.00E+22,79091
2024-05-29 0:00,2.00E+23,82252
2024-05-30 0:00,110353865735,81194
2024-05-31 0:00,7977059966,80035
2024-06-01 0:00,2197312905,65108
2024-06-02 0:00,3873488397,61653
2024-06-03 0:00,9554963080,74937
2024-06-04 0:00,2001298186699029,76964
2024-06-05 0:00,9590605527,75084
2024-06-06 0:00,1234402793119,67680
2024-06-07 0:00,45749269385,77233
2024-06-08 0:00,3979722064,65322
2024-06-09 0:00,2796537856,60519
2024-06-10 0:00,7755518242,76895
2024-06-11 0:00,9805872297,84658
2024-06-12 0:00,8729307656,76843
2024-06-13 0:00,29906116341,79869
2024-06-14 0:00,10604797281,80825
2024-06-15 0:00,2907666334,62850
2024-06-16 0:00,1402109312937588700,60554
2024-06-17 0:00,9639434591,85289
2024-06-18 0:00,9589604290,104049
2024-06-19 0:00,4648012136,75757
2024-06-20 0:00,7646729566,76536
2024-06-21 0:00,7865756486,81793
2024-06-22 0:00,2295718267,66430
2024-06-23 0:00,2909536468,72814
2024-06-24 0:00,11479182788,105080
2024-06-25 0:00,11143150568,97803
2024-06-26 0:00,9250035933,77005
2024-06-27 0:00,10083185040,74900
2024-06-28 0:00,20029154299550,92677
2024-06-29 0:00,2940629421,75815
2024-06-30 0:00,4625486873,74883
2024-07-01 0:00,10338226364,85721
2024-07-02 0:00,8565595448,82053
2024-07-03 0:00,8802472195,85292
2024-07-04 0:00,7462181919,94767
2024-07-05 0:00,13869101097,116003
2024-07-06 0:00,3967265954,78565
2024-07-07 0:00,3341306180,77984
2024-07-08 0:00,11929834811,101015
2024-07-09 0:00,7836734036,84885
2024-07-10 0:00,8985026187,82383
2024-07-11 0:00,20324416048,87060
2024-07-12 0:00,9620195574,87778
2024-07-13 0:00,2703827849,67256
2024-07-14 0:00,6400797590,67687
2024-07-15 0:00,12216684497,88107
2024-07-16 0:00,10747266922,87909
2024-07-17 0:00,8557925397,80620
2024-07-18 0:00,6923289652,75075
2024-07-19 0:00,2.23257E+15,81112
2024-07-20 0:00,6864822265,68863
2024-07-21 0:00,3269940773584,68740
2024-07-22 0:00,9258805642,79648
2024-07-23 0:00,12331381452,88566
2024-07-24 0:00,12025346032,82112
2024-07-25 0:00,8464981664,98231
2024-07-26 0:00,509637207416,87724
2024-07-27 0:00,4130785011,73220
2024-07-28 0:00,23398714614,67626
2024-07-29 0:00,12920393584,93035
2024-07-30 0:00,7786305196,80794
2024-07-31 0:00,154319217088,85773
2024-08-01 0:00,33552735481,93208
2024-08-02 0:00,13494230751,101065
2024-08-03 0:00,5628858031,104017
2024-08-04 0:00,5609566128,103589
2024-08-05 0:00,23940510002,164582
2024-08-06 0:00,12824637417,114698
2024-08-07 0:00,9937486128,108980
2024-08-08 0:00,8566264764,100592
2024-08-09 0:00,500889566414,91652
2024-08-10 0:00,2655318617,74187
2024-08-11 0:00,3719937132,76907
2024-08-12 0:00,10666682446,92732
2024-08-13 0:00,1.00001E+15,91260
2024-08-14 0:00,9510020566,85612
2024-08-15 0:00,8259435261,84281
2024-08-16 0:00,39782196110,92513
2024-08-17 0:00,3058214395,65119
2024-08-18 0:00,2751998323,67488
2024-08-19 0:00,1009100214874,84516
2024-08-20 0:00,9975850050,103875
2024-08-21 0:00,10532838959,92715
2024-08-22 0:00,9045685595,91195
2024-08-23 0:00,12234764505,107652
2024-08-24 0:00,5345026946,93615
2024-08-25 0:00,3735419059,81757
2024-08-26 0:00,9764594630,95848
2024-08-27 0:00,11238063616,106734
2024-08-28 0:00,10541724929,111593
2024-08-29 0:00,16040387424,105427
2024-08-30 0:00,9133970736,118163
2024-08-31 0:00,2328676168,82843
2024-09-01 0:00,1.00E+22,95095
2024-09-02 0:00,4998493495,89195
